Id,title,author,price,genre,language,releasedDate,pageCount
1,Harry Poter and Philosopher's Stone,JK Rowling,8,Fantasy,English,1997-07-08,250
2,Harry Potter and Chamber of Secrets,JK Rowling,10,Fantasy,English,1998-07-21,275
3,Harry Potter and Prisoner of Akzhaban,JK Rowling,12,Fantasy,English,2000-06-22,350
4,Harry Potter and Goblet of Fire,JK Rowling,15,Fantasy,English,2002-07-18,500
5,Harry Potter and Order of Pheonix ,JK Rowling,18,Fantasy,English,2005-08-06,650
6,Harry Potter and Half Blood Prince,JK Rowling,22,Fantasy,English,2007-06-19,800
7,Harry Potter and the Deathly Hallows,JK Rowling,25,Fantasy,English,2009-07-01,1200
8,Twilight ,Stephenie Meyer,12,Romance,English,2005-09-15,250
9,New Moon,Stephenie Meyer,14,Romance,English,2006-07-12,275
10,Eclipse,Stephenie Meyer,15,Romance,English,2008-05-18,300
11,Breaking Dawn,Stephenie Meyer,18,Romance,English,2015-05-25,320
12,Midnight Sun,Stephenie Meyer,18,Romance,English,2020-01-01,285
13,Angles and Demons,Dan Brown,9,Thriller,English,2000-02-13,380
14,The Da Vinci Code,Dan Brown,10,Thriller,English,2004-04-12,400
15,The Lost Symbol,Dan Brown,15,Thriller,English,2009-08-18,600
16,Inferno,Dan Brown,15,Thriller,English,2013-12-12,650
17,Origin,Dan Brown,17,Thriller,English,2017-10-12,540